state,city,mean_hours,mean_days
인천광역시,연수구,214.8,1.8800000000000001
인천광역시,옹진군,384.8,1.78
인천광역시,중구,181.6,1.58
전라남도,강진군,261.4,1.6600000000000001
전라남도,고흥군,375.4,1.64
전라남도,곡성군,255.6,1.6199999999999999
전라남도,광양시,288.4,1.6600000000000001
전라남도,구례군,282.4,1.52
전라남도,나주시,241.4,1.7
전라남도,담양군,177.0,1.56
전라남도,목포시,263.0,1.7600000000000002
전라남도,무안군,248.2,1.6600000000000001
전라남도,보성군,264.8,1.58
전라남도,순천시,257.8,1.6600000000000001
전라남도,신안군,343.6,1.8
전라남도,여수시,338.8,1.58
전라남도,영광군,272.6,1.6800000000000002
전라남도,영암군,260.2,1.7
전라남도,완도군,368.2,1.8
전라남도,장성군,231.8,1.58
전라남도,장흥군,307.6,1.6600000000000001
전라남도,진도군,320.4,1.7399999999999998
전라남도,함평군,223.8,1.6199999999999999
전라남도,해남군,302.4,1.7399999999999998
전라남도,화순군,236.0,1.58
전라북도,고창군,244.4,1.6199999999999999
전라북도,군산시,294.6,1.7
전라북도,김제시,226.4,1.6600000000000001
전라북도,남원시,285.4,1.64
전라북도,무주군,284.2,1.46
전라북도,부안군,333.0,1.58
전라북도,순창군,250.0,1.6199999999999999
전라북도,완주군,231.8,1.56
전라북도,익산시,285.6,1.7600000000000002
전라북도,임실군,172.6,1.56
전라북도,장수군,312.4,1.64
전라북도,전주시,235.9,1.8
전라북도,정읍시,263.8,1.6600000000000001
전라북도,진안군,279.6,1.54
제주특별자치도,서귀포시,361.4,1.86
제주특별자치도,제주시,362.2,1.8800000000000001
충청남도,계룡시,242.0,1.86
충청남도,공주시,190.4,1.54
충청남도,금산군,240.4,1.6
충청남도,논산시,256.4,1.64
충청남도,당진시,259.2,1.7
충청남도,보령시,333.0,1.6
충청남도,부여군,254.6,1.64
충청남도,서산시,278.0,1.7
충청남도,서천군,254.8,1.58
충청남도,아산시,271.6,1.7399999999999998
충청남도,예산군,240.2,1.54
충청남도,천안시,230.7,1.7399999999999998
충청남도,청양군,295.8,1.54
충청남도,태안군,398.6,1.42
충청남도,홍성군,261.2,1.64
충청북도,괴산군,273.6,1.52
충청북도,단양군,283.2,1.48
충청북도,보은군,298.2,1.54
충청북도,영동군,296.4,1.64
충청북도,옥천군,198.0,1.54
충청북도,음성군,281.6,1.78
충청북도,제천시,324.8,1.6
충청북도,증평군,233.0,1.6800000000000002
충청북도,진천군,258.0,1.7
충청북도,청주시,208.15,1.765
충청북도,충주시,296.8,1.64
