,Unnamed: 0.1,Unnamed: 0,address,state,city,lat,long,install_cnt,date,new_address
45510,216828,216828,방어동 949,방어동,949,35.478219,129.4291011,,2022-11-01,
45511,216829,216829,방어동 949,방어동,949,35.478219,129.4291011,,2022-11-01,
45600,217648,217648,일산동 902-2 부근,일산동,902-2,35.4920566,129.4338651,,2022-11-01,
45601,217649,217649,일산동 902-2 부근,일산동,902-2,35.4920566,129.4338651,,2022-11-01,
45602,217650,217650,일산동 902-2 부근,일산동,902-2,35.4920566,129.4338651,,2022-11-01,
45603,217651,217651,일산동 902-2 부근,일산동,902-2,35.4920566,129.4338651,,2022-11-01,
45604,217652,217652,일산동902-2부근,일산동902-2부근,,35.4920566,129.4338651,,2022-11-01,
45605,217653,217653,일산동902-2부근,일산동902-2부근,,35.4920566,129.4338651,,2022-11-01,
45606,217654,217654,일산동902-2부근,일산동902-2부근,,35.4920566,129.4338651,,2022-11-01,
45689,217737,217737,방어동958,방어동958,,35.478049,129.4146407,,2022-11-01,
45690,217738,217738,방어동958,방어동958,,35.478049,129.4146407,,2022-11-01,
45691,217739,217739,방어동958,방어동958,,35.478049,129.4146407,,2022-11-01,
45692,217740,217740,방어동958,방어동958,,35.478049,129.4146407,,2022-11-01,
45693,217741,217741,방어동958,방어동958,,35.478049,129.4146407,,2022-11-01,
45842,217890,217890,일산동 905,일산동,905,35.493598,129.437584,,2022-11-01,
45843,217891,217891,일산동 905,일산동,905,35.493598,129.437584,,2022-11-01,
45844,217892,217892,일산동 905,일산동,905,35.493598,129.437584,,2022-11-01,
45845,217893,217893,일산동 905,일산동,905,35.493598,129.437584,,2022-11-01,
45846,217894,217894,일산동 905,일산동,905,35.493598,129.437584,,2022-11-01,
45847,217895,217895,일산동 905,일산동,905,35.493598,129.437584,,2022-11-01,
45848,217896,217896,일산동 905,일산동,905,35.494753,129.439642,,2022-11-01,
45849,217897,217897,일산동 905,일산동,905,35.494753,129.439642,,2022-11-01,
45850,217898,217898,일산동 905,일산동,905,35.494753,129.439642,,2022-11-01,
45851,217899,217899,일산동 905,일산동,905,35.494753,129.439642,,2022-11-01,
46031,221493,221493,을왕동 773-24번지,을왕동,773-24번지,37.448429,126.369647,,2020-07-02,
46035,221497,221497,월미문화로 61,월미문화로,61,37.472505,126.597054,,2020-07-02,
46097,221559,221559,북성동1가 3-9 부근,북성동1가,3-9,37.483002,126.614689,,2020-07-02,
46138,221600,221600,무의동 998-15,무의동,998-15,37.372903,126.440716,,2020-07-02,
46367,221948,221948,운서동 2827(삼목선착장),운서동,2827(삼목선착장),37.4997288,126.452429,,2020-07-02,
48417,225861,225861,경인로234번길 12-6,경인로234번길,12-6,37.4625,126.66796,,2022-12-02,
49011,226607,226607,주승로 258-1,주승로,258-1,37.44766,126.69229,,2022-12-02,
49215,228265,228265,미암면 선황리 252-20 미암초등학교 후문 1ch,미암면,선황리,34.7,126.575,,2020-12-11,
49584,228634,228634,함평읍 석성리 560-14,함평읍,석성리,35.086,126.4311,,2020-11-25,
49585,228635,228635,함평읍 석성리 560-14,함평읍,석성리,35.086,126.4311,,2020-11-25,
49586,228636,228636,손불면 학산리 1013-54,손불면,학산리,35.1591,126.3711,,2020-11-25,
49843,230127,230127,대덕읍 신리 1131-3,대덕읍,신리,34.446659,126.849337,,2021-05-03,
50289,230573,230573,장흥읍 건산리 479-10,장흥읍,건산리,34.6800414,127.90829,,2021-05-03,
50290,230574,230574,장흥읍 건산리 479-10,장흥읍,건산리,34.6800414,128.90829,,2021-05-03,
50291,230575,230575,장흥읍 건산리 479-10,장흥읍,건산리,34.6800414,129.90829,,2021-05-03,
50292,230576,230576,장흥읍 건산리 479-10,장흥읍,건산리,34.6800414,130.90829,,2021-05-03,
51381,232673,232673,진도군 의신면 돈지리 270-2,진도군,의신면,35.44031,126.2842,,2022-06-15,
51524,232816,232816,진도군 임회면 죽림리 436-14,진도군,임회면,34.37963,126.26578,,2022-06-15,
51525,232817,232817,진도군 임회면 죽림리 436-14,진도군,임회면,34.37963,126.26578,,2022-06-15,
51544,232836,232836,진도군 임회면 연동리 241,진도군,임회면,34.586207,126.158139,,2022-06-15,
51545,232837,232837,진도군 임회면 연동리 241,진도군,임회면,34.586207,126.158139,,2022-06-15,
51989,233281,233281,진도군 조도면 가사도리 산 243-3,진도군,조도면,34.470771,126.041195,,2022-06-15,
51990,233282,233282,진도군 조도면 가사도리 산 243-3,진도군,조도면,34.470771,126.041195,,2022-06-15,
51991,233283,233283,진도군 조도면 가사도리 산 243-3,진도군,조도면,34.470771,126.041195,,2022-06-15,
52708,235145,235145,승주읍 서평리 546-1번지,승주읍,서평리,35.0166,127.3791,,2022-05-31,
52709,235146,235146,승주읍 서평리 546-1번지,승주읍,서평리,35.0166,127.3791,,2022-05-31,
52825,235262,235262,신대지구-모다아울렛 연결박스,신대지구-모다아울렛,연결박스,34.9258,127.5458,,2022-05-31,
53018,235455,235455,동외동 56-49,동외동,56-49,32.5221,123.7417,,2022-05-31,
53140,235577,235577,덕암동 272-10,덕암동,272-10,34.9472,127.5036,,2022-05-31,
53464,235901,235901,낙안면 신기리217-2도,낙안면,신기리217-2도,34.8682,127.3477,,2022-05-31,
53541,235978,235978,용당동 704-10,용당동,704-10,34.975,127.4859,,2022-05-31,
53555,235992,235992,용당동 현대아파트후문,용당동,현대아파트후문,34.9738,127.4914,,2022-05-31,
53638,236075,236075,별량면 학산리 392-18,별량면,학산리,34.8666,127.486,,2022-05-31,
53639,236076,236076,별량면 학산리 392-18,별량면,학산리,34.8666,127.486,,2022-05-31,
53805,236242,236242,낙안면 동내리 472-8,낙안면,동내리,34.9065,127.3442,,2022-05-31,
53806,236243,236243,낙안면 동내리 472-8,낙안면,동내리,34.9065,127.3442,,2022-05-31,
53839,236276,236276,비촌리 437-4,비촌리,437-4,35.186,127.4175,,2022-05-31,
54021,236458,236458,상내리 614-5,상내리,614-5,34.8453,127.525,,2022-05-31,
54022,236459,236459,상내리 614-5,상내리,614-5,34.8453,127.5249,,2022-05-31,
54411,236848,236848,서면 청소년수련원길190(운평리),서면,청소년수련원길190(운평리),53.0444,127.4793,,2022-05-31,
54942,237379,237379,서면 동산리 11번지,서면,동산리,34.9922,127.4946,,2022-05-31,
55087,237524,237524,현대아파트후문,현대아파트후문,,34.9738,127.4914,,2022-05-31,
55173,237610,237610,용당동 553-2,용당동,553-2,34.9665,127.4907,,2022-05-31,
55244,237681,237681,주암면 오산리 681-5,주암면,오산리,35.0681,127.2823,,2022-05-31,
55267,237704,237704,별량면 구룡리 4-2,별량면,구룡리,34.5006,127.2601,,2022-05-31,
55268,237705,237705,별량면 구룡리 4-2,별량면,구룡리,34.5006,127.2601,,2022-05-31,
55274,237711,237711,별량면 마산리 37-6,별량면,마산리,34.5027,127.2727,,2022-05-31,
55275,237712,237712,별량면 마산리 37-6,별량면,마산리,34.5027,127.2727,,2022-05-31,
55276,237713,237713,별량면 마산리 498일대,별량면,마산리,34.5012,127.2648,,2022-05-31,
55277,237714,237714,별량면 마산리 498일대,별량면,마산리,34.5012,127.2648,,2022-05-31,
55278,237715,237715,별량면 마산리 498일대,별량면,마산리,34.5008,127.2656,,2022-05-31,
55279,237716,237716,별량면 마산리 498일대,별량면,마산리,34.5008,127.2656,,2022-05-31,
55338,237775,237775,교량동 1135-97,교량동,1135-97,34.304,127.3058,,2022-05-31,
55489,237926,237926,매곡동 551-1,매곡동,551-1,34.6939,127.4884,,2022-05-31,
55900,240580,240580,변산면 격포리794,변산면,격포리794,35.62049,126.462979,,2020-12-14,
55904,240584,240584,변산면 대항리 523-189,변산면,대항리,35.68026,126.530743,,2020-12-14,
55905,240585,240585,변산면 도청리 203-123,변산면,도청리,35.581439,126.507511,,2020-12-14,
55907,240587,240587,변산면 운산리 441-13,변산면,운산리,35.661547,126.507275,,2020-12-14,
55909,240589,240589,위도면 진리 548,위도면,진리,35.605204,126.284312,,2020-12-14,
56846,249535,249535,제주특별자치도 서귀포시 남원읍 의귀리 1483-15,제주특별자치도,서귀포시,33.310106,126.714732,,2022-12-15,
56847,249536,249536,제주특별자치도 서귀포시 남원읍 의귀리 1424,제주특별자치도,서귀포시,33.309826,126.713921,,2022-12-15,
56997,249686,249686,비봉면 장재리 261-15,비봉면,장재리,36.526693,126.787878,,2020-11-20,
57056,249745,249745,목면 본의리 753,목면,본의리,36.428356,126.006782,,2020-11-20,
57062,249751,249751,목면 신흥리 680-8,목면,신흥리,36.401013,126.008747,,2020-11-20,
57186,249875,249875,청양읍 읍내리 174-6,청양읍,읍내리,36.450617,126.803052,,2020-11-20,
57275,249964,249964,충청남도 부여군 외산면 장항리 331-1,충청남도,부여군,36.313849,126.371407,,2021-06-18,
57419,250108,250108,충청남도 부여군 부여읍 동남리 504-41,충청남도,부여군,36.277448,126.390802,,2021-06-18,
57447,250136,250136,충청남도 부여군 부여읍 동남리 247-1,충청남도,부여군,36.280425,126.913356,,2021-06-18,
57613,250302,250302,충청남도 부여군 부여읍 동남리 231,충청남도,부여군,36.2813776,126.913339,,2021-06-18,
57689,250378,250378,충청남도 부여군 구룡면 태양리 80-2,충청남도,부여군,36.2528779,126.814706,,2021-06-18,
57716,250405,250405,충청남도 부여군 부여읍 동남리 760,충청남도,부여군,36.2782059,126.917266,,2021-06-18,
57740,250429,250429,충청남도 부여군 규암면 합송리 106-8,충청남도,부여군,36.251906,126.875191,,2021-06-18,
58205,250894,250894,충남 당진시 송악읍 한진리 95-17,충남,당진시,36.970395,126.782191,,2021-08-25,
58206,250895,250895,충남 당진시 송악읍 한진리 95-17,충남,당진시,36.970395,126.782191,,2021-08-25,
58216,250905,250905,충남 당진시 신평면 매산리 69-14,충남,당진시,36.905018,126.814614,,2021-08-25,
58217,250906,250906,충남 당진시 신평면 매산리 69-14,충남,당진시,36.905018,126.814614,,2021-08-25,
58741,251430,251430,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2021-08-25,
58742,251431,251431,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2021-08-25,
59002,251691,251691,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2021-08-25,
59060,251749,251749,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2021-08-25,
59123,251812,251812,충남 당진시 송산면 동곡리 260-1,충남,당진시,36.967022,126.696833,,2021-08-25,
59124,251813,251813,충남 당진시 송산면 동곡리 260-1,충남,당진시,36.967022,126.696833,,2021-08-25,
60050,252739,252739,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60051,252740,252740,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60052,252741,252741,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60053,252742,252742,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60054,252743,252743,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60055,252744,252744,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60056,252745,252745,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60057,252746,252746,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60058,252747,252747,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60059,252748,252748,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60060,252749,252749,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60061,252750,252750,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60126,252815,252815,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60127,252816,252816,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60128,252817,252817,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60129,252818,252818,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60130,252819,252819,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60131,252820,252820,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60132,252821,252821,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60133,252822,252822,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60134,252823,252823,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60135,252824,252824,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60222,252911,252911,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60223,252912,252912,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60224,252913,252913,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60225,252914,252914,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60580,253269,253269,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60581,253270,253270,충청남도 태안군 근흥면 정죽리 1268-28,충청남도,태안군,36.67839395,126.1548258,,2021-06-30,
60609,253298,253298,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60652,253341,253341,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60653,253342,253342,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60654,253343,253343,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60728,253417,253417,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60729,253418,253418,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60730,253419,253419,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
60731,253420,253420,충청남도 태안군 안면읍 황도리 26-5,충청남도,태안군,36.59906643,126.3835809,,2021-06-30,
61582,254271,254271,충청남도 아산시 신창면 남성리 49-10,충청남도,아산시,36.796049,126.95782,,2022-03-24,
61583,254272,254272,충청남도 아산시 신창면 남성리 49-10,충청남도,아산시,36.796049,126.95782,,2022-03-24,
62411,255100,255100,충청남도 아산시 송악면 수곡리 81-2,충청남도,아산시,36.722721,126.96133,,2022-03-24,
62508,255197,255197,충청남도 아산시 둔포면 둔포리 280-4,충청남도,아산시,36.927119,126.890683,,2022-03-24,
62725,255414,255414,충청남도 서산시 오지리 313-5,충청남도,서산시,36.96192,126.34956,,2021-11-19,
62749,255438,255438,충청남도 서산시 호리 산1,충청남도,서산시,36.86054,126.34791,,2021-11-19,
62797,255486,255486,충청남도 서산시 오지리 338-30 오지리 벌말항 338-49번지 선,충청남도,서산시,36.96125,126.3337,,2021-11-19,
62824,255513,255513,충청남도 서산시  간월도리 10-2,충청남도,서산시,36.60803,126.42265,,2021-11-19,
62955,255644,255644,충청남도 서산시 부석면 창리 293-73,충청남도,서산시,36.62436,126.36962,,2021-11-19,
63018,255707,255707,충청남도 서산시 운산면 안호리 283-8,충청남도,서산시,36.8284,126.57976,,2021-11-19,
63037,255726,255726,충청남도 서산시 팔봉면 고파도리 213-1,충청남도,서산시,36.91273,126.33878,,2021-11-19,
63040,255729,255729,충청남도 서산시 지곡면 중왕리 968-7,충청남도,서산시,36.91812,126.35291,,2021-11-19,
63041,255730,255730,충청남도 서산시 지곡면 중왕리 산 147-2,충청남도,서산시,36.93298,126.33929,,2021-11-19,
63042,255731,255731,충청남도 서산시 지곡면 중왕리 647-28,충청남도,서산시,36.92844,126.3406,,2021-11-19,
63253,255942,255942,충청남도 아산시 선장면 신성리 185-6,충청남도,아산시,36.772211,126.89373,,2022-03-24,
63454,256143,256143,충청남도 서산시 대산읍 대산리 135-20,충청남도,서산시,36.93728,126.43534,,2021-11-19,
64097,256786,256786,충청남도 아산시 신창면 읍내리 291-3,충청남도,아산시,36.777442,126.933538,,2022-03-24,
64098,256787,256787,충청남도 아산시 신창면 읍내리 291-3,충청남도,아산시,36.777442,126.933538,,2022-03-24,
64099,256788,256788,충청남도 아산시 신창면 읍내리 291-3,충청남도,아산시,36.777442,126.933538,,2022-03-24,
65093,257782,257782,충청남도 아산시 영인면 월선리 623,충청남도,아산시,36.873613,126.939466,,2022-03-24,
65094,257783,257783,충청남도 아산시 영인면 월선리 623,충청남도,아산시,36.873613,126.939466,,2022-03-24,
66003,258692,258692,충청남도 서천군 마서면 죽산리 산4-22,충청남도,서천군,36.054748,126.632631,,2022-06-10,
66010,258699,258699,충청남도 서천군 장항읍 장암리 435,충청남도,서천군,36.006759,126.662804,,2022-06-10,
66015,258704,258704,충청남도 서천군 비인면 다사리 419-9,충청남도,서천군,36.096321,126.612532,,2022-06-10,
66020,258709,258709,충청남도 서천군 마서면 죽산리 산4-22,충청남도,서천군,36.054938,126.632824,,2022-06-10,
66021,258710,258710,충청남도 서천군 장항읍 장암리 산26-1,충청남도,서천군,36.006939,126.662884,,2022-06-10,
66022,258711,258711,충청남도 서천군 장항읍 장암리 산26-1,충청남도,서천군,36.006675,126.662584,,2022-06-10,
66405,259094,259094,충청남도 서천군 장항읍 원수리 303-16,충청남도,서천군,36.004179,126.707661,,2022-06-10,
66406,259095,259095,충청남도 서천군 장항읍 원수리 303-16,충청남도,서천군,36.00386,126.707631,,2022-06-10,
66407,259096,259096,충청남도 서천군 장항읍 원수리 303-16,충청남도,서천군,36.002878,126.707479,,2022-06-10,
66408,259097,259097,충청남도 서천군 장항읍 원수리 303-16,충청남도,서천군,36.001478,126.707418,,2022-06-10,
66409,259098,259098,충청남도 서천군 장항읍 원수리 303-16,충청남도,서천군,35.999539,126.707236,,2022-06-10,
66706,259395,259395,충청남도 서천군 장항읍 신창리 420-89일원,충청남도,서천군,36.006971,126.693442,,2022-06-10,
66709,259398,259398,충청남도 서천군 한산면 원산리 333,충청남도,서천군,36.118831,126.836235,,2022-06-10,
