state,city,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density
대전광역시,동구,581,15122,-3,5790,0.0307,2781.58
대전광역시,서구,757,15407,67,9244,0.0307,2781.58
대전광역시,유성구,581,8595,72,17266,0.0307,2781.58
대전광역시,중구,738,12589,35,4958,0.0307,2781.58
부산광역시,강서구,598,4750,-3,19623,0.0767,4378.44
부산광역시,금정구,35,4775,9,-4,0.0767,4378.44
부산광역시,기장군,1259,5613,81,11333,0.0767,4378.44
부산광역시,남구,1,4516,76,4453,0.0767,4378.44
부산광역시,동구,1318,3488,26,2900,0.0767,4378.44
부산광역시,동래구,1236,4495,40,4532,0.0767,4378.44
부산광역시,부산진구,1007,9379,24,-4,0.0767,4378.44
부산광역시,북구,746,3803,70,4521,0.0767,4378.44
부산광역시,사상구,442,3820,-3,-4,0.0767,4378.44
부산광역시,사하구,517,5549,-3,6042,0.0767,4378.44
부산광역시,서구,483,5106,21,2848,0.0767,4378.44
부산광역시,수영구,2998,3279,-3,4009,0.0767,4378.44
부산광역시,연제구,570,3308,48,-4,0.0767,4378.44
부산광역시,영도구,535,4464,3,-4,0.0767,4378.44
부산광역시,중구,461,1783,21,1777,0.0767,4378.44
부산광역시,해운대구,899,3640,11,-4,0.0767,4378.44
부산광역시,연재구,-1,-2,-3,3922,0.0767,4378.44
부산광역시,진구,-1,-2,-3,8258,0.0767,4378.44
서울특별시,강남구,6186,10211,4231,-4,0.1929,15899.1
서울특별시,강동구,2813,7534,1037,-4,0.1929,15899.1
서울특별시,강북구,2300,9777,22,-4,0.1929,15899.1
서울특별시,강서구,1509,8646,898,-4,0.1929,15899.1
서울특별시,관악구,1662,12401,988,3026,0.1929,15899.1
서울특별시,광진구,923,8971,775,4715,0.1929,15899.1
서울특별시,구로구,1779,8015,1051,-4,0.1929,15899.1
서울특별시,금천구,778,6301,709,-4,0.1929,15899.1
서울특별시,노원구,2405,6791,59,-4,0.1929,15899.1
서울특별시,동대문구,904,-2,740,5205,0.1929,15899.1
서울특별시,동작구,876,9202,1676,-4,0.1929,15899.1
서울특별시,마포구,1222,7405,849,-4,0.1929,15899.1
서울특별시,서대문구,870,7252,401,3230,0.1929,15899.1
서울특별시,서초구,8344,11405,34,-4,0.1929,15899.1
서울특별시,성동구,1313,223,898,-4,0.1929,15899.1
서울특별시,성북구,1682,10000,1040,-4,0.1929,15899.1
서울특별시,송파구,1245,5578,881,-4,0.1929,15899.1
서울특별시,양천구,1135,7468,677,4836,0.1929,15899.1
서울특별시,영등포구,4307,9052,1185,9615,0.1929,15899.1
서울특별시,용산구,809,9925,590,3605,0.1929,15899.1
서울특별시,은평구,2804,-2,1067,-4,0.1929,15899.1
서울특별시,종로구,777,8723,108,-4,0.1929,15899.1
서울특별시,중구,969,6189,632,-4,0.1929,15899.1
서울특별시,중랑구,1805,9117,1777,6419,0.1929,15899.1
서울특별시,도봉구,-1,6344,1,627,0.1929,15899.1
세종특별자치시,가람동,5,-2,-3,-4,0.0041,708.64
세종특별자치시,고운동,92,-2,1,178,0.0041,708.64
세종특별자치시,공주시,2,-2,-3,-4,0.0041,708.64
세종특별자치시,금남면,119,1380,2,2598,0.0041,708.64
세종특별자치시,나성동,38,-2,-3,-4,0.0041,708.64
세종특별자치시,다정동,26,-2,-3,-4,0.0041,708.64
세종특별자치시,대평동,37,-2,2,-4,0.0041,708.64
세종특별자치시,대평동,1,-2,-3,-4,0.0041,708.64
세종특별자치시,도담동,40,-2,-3,160,0.0041,708.64
세종특별자치시,반곡동,44,-2,-3,-4,0.0041,708.64
세종특별자치시,보람동,41,-2,-3,242,0.0041,708.64
세종특별자치시,보람동,1,-2,-3,-4,0.0041,708.64
세종특별자치시,보람동,1,-2,-3,-4,0.0041,708.64
세종특별자치시,부강면,54,603,-3,924,0.0041,708.64
세종특별자치시,새롬동,31,-2,-3,161,0.0041,708.64
세종특별자치시,소담동,32,-2,-3,-4,0.0041,708.64
세종특별자치시,소정면,27,411,-3,548,0.0041,708.64
세종특별자치시,아름동,31,-2,4,74,0.0041,708.64
세종특별자치시,어진동,82,-2,1,-4,0.0041,708.64
세종특별자치시,연기면,69,398,4,1461,0.0041,708.64
세종특별자치시,연동면,30,569,-3,942,0.0041,708.64
세종특별자치시,연서면,43,805,1,1815,0.0041,708.64
세종특별자치시,장군면,42,933,-3,1771,0.0041,708.64
세종특별자치시,전동면,27,821,1,1919,0.0041,708.64
세종특별자치시,전의면,46,909,2,2077,0.0041,708.64
세종특별자치시,조치원읍,203,1200,5,455,0.0041,708.64
세종특별자치시,종촌동,19,-2,-3,38,0.0041,708.64
세종특별자치시,한솔동,40,-2,-3,95,0.0041,708.64
울산광역시,남구,3467,6314,807,-4,0.0136,1074.94
울산광역시,동구,1376,2504,454,-4,0.0136,1074.94
울산광역시,북구,762,4413,484,-4,0.0136,1074.94
울산광역시,울주군,731,14157,466,-4,0.0136,1074.94
울산광역시,중구,730,5082,730,-4,0.0136,1074.94
울산광역시,노원구,-1,-2,1,-4,0.0136,1074.94
인천광역시,강화군,743,9978,296,-4,0.0587,2765.6400000000003
인천광역시,계양구,1377,3378,554,-4,0.0587,2765.6400000000003
인천광역시,남동구,1147,6726,83,17820,0.0587,2765.6400000000003
인천광역시,동구,614,3057,289,-4,0.0587,2765.6400000000003
인천광역시,미추홀구,1812,9052,194,4407,0.0587,2765.6400000000003
인천광역시,부평구,946,7290,952,-4,0.0587,2765.6400000000003
인천광역시,서구,1382,5117,997,22540,0.0587,2765.6400000000003
인천광역시,연수구,688,1895,119,-4,0.0587,2765.6400000000003
인천광역시,옹진군,130,-2,11,2055,0.0587,2765.6400000000003
인천광역시,중구,658,2572,523,3230,0.0587,2765.6400000000003
인천광역시,남구,-1,-2,3,-4,0.0587,2765.6400000000003
전라남도,강진군,10,4446,10,-4,0.0343,144.78000000000003
전라남도,고흥군,815,-2,55,-4,0.0343,144.78000000000003
전라남도,곡성군,535,5334,23,3230,0.0343,144.78000000000003
전라남도,광양시,149,2069,93,-4,0.0343,144.78000000000003
전라남도,구례군,406,4028,42,-4,0.0343,144.78000000000003
전라남도,나주시,1,14326,-3,-4,0.0343,144.78000000000003
전라남도,담양군,167,6815,8,-4,0.0343,144.78000000000003
전라남도,목포시,628,9301,56,-4,0.0343,144.78000000000003
전라남도,보성군,1076,-2,49,-4,0.0343,144.78000000000003
전라남도,순천시,3137,9998,291,10725,0.0343,144.78000000000003
전라남도,여수시,995,20630,139,-4,0.0343,144.78000000000003
전라남도,영광군,390,10293,46,-4,0.0343,144.78000000000003
전라남도,영암군,241,8190,14,-4,0.0343,144.78000000000003
전라남도,완도군,334,6816,-3,-4,0.0343,144.78000000000003
전라남도,장성군,550,5258,64,-4,0.0343,144.78000000000003
전라남도,장흥군,831,7024,6,-4,0.0343,144.78000000000003
전라남도,진도군,968,7243,14,-4,0.0343,144.78000000000003
전라남도,함평군,490,6450,35,-4,0.0343,144.78000000000003
전라남도,해남군,75,9087,15,1993,0.0343,144.78000000000003
전라남도,화순군,360,12491,32,-4,0.0343,144.78000000000003
전라남도,무안군,-1,6715,-3,-4,0.0343,144.78000000000003
전라남도,신안군,-1,8233,-3,-4,0.0343,144.78000000000003
전라남도,용산면,-1,1,-3,-4,0.0343,144.78000000000003
전라남도,장흥읍,-1,1,-3,-4,0.0343,144.78000000000003
전라북도,고창군,409,2130,132,-4,0.0324,224.08
전라북도,군산시,2096,17676,69,16668,0.0324,224.08
전라북도,남원시,1,297,9,-4,0.0324,224.08
전라북도,무주군,858,3530,42,-4,0.0324,224.08
전라북도,부안군,307,8972,23,-4,0.0324,224.08
전라북도,순찬군,2,-2,-3,-4,0.0324,224.08
전라북도,순창군,247,6551,47,-4,0.0324,224.08
전라북도,완주군,421,12727,157,-4,0.0324,224.08
전라북도,익산시,904,18203,18,-4,0.0324,224.08
전라북도,임실군,478,4671,38,-4,0.0324,224.08
전라북도,장수군,335,2597,23,-4,0.0324,224.08
전라북도,전주시,1604,20920,147,-4,0.0324,224.08
전라북도,정읍시,454,12747,63,-4,0.0324,224.08
전라북도,진안군,578,6066,56,-4,0.0324,224.08
전라북도,공음면,-1,1,-3,-4,0.0324,224.08
전라북도,김제시,-1,12875,-3,-4,0.0324,224.08
전라북도,순창시,-1,-2,3,-4,0.0324,224.08
전라북도,함양군,-1,-2,1,-4,0.0324,224.08
제주특별자치도,서귀포시,228,7247,71,29567,0.0189,357.7
제주특별자치도,제주시,932,26295,-3,43465,0.0189,357.7
충청남도,공주시,1503,4313,76,9,0.0368,264.24
충청남도,금산군,608,8764,28,-4,0.0368,264.24
충청남도,논산시,1196,14236,144,-4,0.0368,264.24
충청남도,당진시,2392,9794,51,34,0.0368,264.24
충청남도,보령시,756,11057,37,44,0.0368,264.24
충청남도,부여군,497,11640,-3,10,0.0368,264.24
충청남도,서산시,1080,13079,728,100,0.0368,264.24
충청남도,서천군,873,11319,77,-4,0.0368,264.24
충청남도,아산시,3125,24098,1,47,0.0368,264.24
충청남도,예산군,482,4302,40,-4,0.0368,264.24
충청남도,천안시,5930,19706,1671,-4,0.0368,264.24
충청남도,청양군,375,6735,62,-4,0.0368,264.24
충청남도,태안군,3651,1740,37,-4,0.0368,264.24
충청남도,평택시,13,-2,-3,-4,0.0368,264.24
충청남도,홍성군,653,9460,104,100,0.0368,264.24
충청남도,계룡시,-1,1059,-3,-4,0.0368,264.24
충청남도,운산면,-1,1,-3,-4,0.0368,264.24
충청남도,보은군,-1,-2,1,-4,0.0368,264.24
충청남도,연기군,-1,-2,1,-4,0.0368,264.24
충청남도,완주군,-1,-2,1,-4,0.0368,264.24
충청북도,괴산군,640,3,-3,-4,0.0299,219.2
충청북도,단양군,287,1499,21,-4,0.0299,219.2
충청북도,보은군,316,6349,99,-4,0.0299,219.2
충청북도,영동군,1,6076,-3,-4,0.0299,219.2
충청북도,옥천군,333,9941,112,-4,0.0299,219.2
충청북도,음성군,4500,21397,353,-4,0.0299,219.2
충청북도,제천시,979,9024,314,-4,0.0299,219.2
충청북도,증평군,910,3869,8,-4,0.0299,219.2
충청북도,진천군,692,2,-3,121,0.0299,219.2
충청북도,청주시,9,25432,-3,-4,0.0299,219.2
충청북도,충주시,1578,10600,219,-4,0.0299,219.2
충청북도,청원군,-1,-2,1,-4,0.0299,219.2
