state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,crime_rate,avg_pop_density,mean_hours,mean_days,new_state,visit_pop_mms,light_pop_mms,bell_pop_mms,crime_pop_mms,G_index
대구광역시,수성구,27523974,2471.0,11617.0,62.0,0.0494,2744.8,198.2,1.86,대구광역시 수성구,0.0756832598715083,0.0519557358530155,0.0155859562808113,0.0385150550905536,0.0368015381760716
대구광역시,동구,31917750,1294.0,14576.0,69.0,0.0494,2744.8,180.4,1.76,대구광역시 동구,0.0756832598715083,0.0519557358530155,0.0155859562808113,0.0385150550905536,0.0368015381760716
대전광역시,유성구,27320667,581.0,8595.0,72.0,0.0307,2781.58,219.6,1.86,대전광역시 유성구,0.0545469098358167,0.0542903684140735,0.0224302896216706,0.0165459603847807,0.0388317401510512
대전광역시,서구,28856747,757.0,15407.0,67.0,0.0307,2781.58,219.0,1.84,대전광역시 서구,0.0545469098358167,0.0542903684140735,0.0224302896216706,0.0165459603847807,0.0388317401510512
대전광역시,대덕구,10395456,893.0,8295.0,66.0,0.0307,2781.58,203.0,1.76,대전광역시 대덕구,0.0545469098358167,0.0542903684140735,0.0224302896216706,0.0165459603847807,0.0388317401510512
대전광역시,동구,14914106,581.0,15122.0,66.5,0.0307,2781.58,189.2,1.74,대전광역시 동구,0.0545469098358167,0.0542903684140735,0.0224302896216706,0.0165459603847807,0.0388317401510512
대전광역시,중구,20269458,738.0,12589.0,35.0,0.0307,2781.58,185.4,1.74,대전광역시 중구,0.0545469098358167,0.0542903684140735,0.0224302896216706,0.0165459603847807,0.0388317401510512
부산광역시,사하구,13128200,517.0,5549.0,25.0,0.0767,4378.44,218.0,1.94,부산광역시 사하구,0.0293194396219764,0.0062001466452732,0.0032295831883395,0.0369499303771062,0.0041536629494941
부산광역시,북구,12227947,746.0,3803.0,70.0,0.0767,4378.44,196.4,1.9,부산광역시 북구,0.0293194396219764,0.0062001466452732,0.0032295831883395,0.0369499303771062,0.0041536629494941
부산광역시,해운대구,41781617,899.0,3640.0,11.0,0.0767,4378.44,195.0,1.84,부산광역시 해운대구,0.0293194396219764,0.0062001466452732,0.0032295831883395,0.0369499303771062,0.0041536629494941
부산광역시,남구,15577364,1.0,4516.0,76.0,0.0767,4378.44,191.4,1.88,부산광역시 남구,0.0293194396219764,0.0062001466452732,0.0032295831883395,0.0369499303771062,0.0041536629494941
부산광역시,금정구,16931732,35.0,4775.0,9.0,0.0767,4378.44,189.2,1.84,부산광역시 금정구,0.0293194396219764,0.0062001466452732,0.0032295831883395,0.0369499303771062,0.0041536629494941
서울특별시,관악구,28871647,1662.0,12401.0,988.0,0.1929,15899.1,243.2,1.9,서울특별시 관악구,0.0,0.0,0.0602127537574867,0.0199753011633493,0.0006839630020363
서울특별시,은평구,18163752,2804.0,8646.0,1067.0,0.1929,15899.1,230.8,1.96,서울특별시 은평구,0.0,0.0,0.0602127537574867,0.0199753011633493,0.0006839630020363
서울특별시,금천구,17887377,778.0,6301.0,709.0,0.1929,15899.1,227.6,1.86,서울특별시 금천구,0.0,0.0,0.0602127537574867,0.0199753011633493,0.0006839630020363
서울특별시,강북구,18389096,2300.0,9777.0,22.0,0.1929,15899.1,215.8,1.82,서울특별시 강북구,0.0,0.0,0.0602127537574867,0.0199753011633493,0.0006839630020363
서울특별시,성북구,23093998,1682.0,10000.0,1040.0,0.1929,15899.1,213.2,1.88,서울특별시 성북구,0.0,0.0,0.0602127537574867,0.0199753011633493,0.0006839630020363
세종특별자치시,세종특별자치시,18211355,1218.0,8029.0,23.0,0.0041,708.64,290.4,1.8,세종특별자치시 세종특별자치시,0.0346856657823774,0.0244071620326739,0.0,0.0,0.0172158799930939
울산광역시,동구,8656125,1376.0,2504.0,454.0,0.0136,1074.94,235.8,1.88,울산광역시 동구,0.1209413697028417,0.0794759942157908,0.781924706963288,0.0215578659595817,0.0648413409000461
울산광역시,울주군,20883111,731.0,14157.0,466.0,0.0136,1074.94,211.6,1.8,울산광역시 울주군,0.1209413697028417,0.0794759942157908,0.781924706963288,0.0215578659595817,0.0648413409000461
울산광역시,북구,13739394,762.0,4413.0,484.0,0.0136,1074.94,198.6,1.92,울산광역시 북구,0.1209413697028417,0.0794759942157908,0.781924706963288,0.0215578659595817,0.0648413409000461
울산광역시,남구,23391189,3467.0,6314.0,807.0,0.0136,1074.94,183.2,1.88,울산광역시 남구,0.1209413697028417,0.0794759942157908,0.781924706963288,0.0215578659595817,0.0648413409000461
울산광역시,중구,11762026,730.0,5082.0,730.0,0.0136,1074.94,159.2,1.92,울산광역시 중구,0.1209413697028417,0.0794759942157908,0.781924706963288,0.0215578659595817,0.0648413409000461
인천광역시,옹진군,5335076,130.0,5117.0,11.0,0.0587,2765.64,384.8,1.78,인천광역시 옹진군,0.057291987493254,0.0217677622838161,0.1481075491222693,0.048625015922634,0.0167070315891271
인천광역시,강화군,14278033,743.0,9978.0,296.0,0.0587,2765.64,267.8,1.46,인천광역시 강화군,0.057291987493254,0.0217677622838161,0.1481075491222693,0.048625015922634,0.0167070315891271
인천광역시,서구,26448716,1382.0,5117.0,997.0,0.0587,2765.64,228.8,1.96,인천광역시 서구,0.057291987493254,0.0217677622838161,0.1481075491222693,0.048625015922634,0.0167070315891271
인천광역시,연수구,27682375,688.0,1895.0,119.0,0.0587,2765.64,214.8,1.88,인천광역시 연수구,0.057291987493254,0.0217677622838161,0.1481075491222693,0.048625015922634,0.0167070315891271
인천광역시,남동구,31589189,1147.0,6726.0,83.0,0.0587,2765.64,207.6,1.86,인천광역시 남동구,0.057291987493254,0.0217677622838161,0.1481075491222693,0.048625015922634,0.0167070315891271
